"hdct02" "hdct03" "hdct04" "pop" "ewloc" "nsloc" "ld02" "fl02" "ld03" "fl03" "ld04" "fl04"
0 0  0 "NWLF"  -8 -11 0 0 0 0 0 0
0 0  0 "Eriley"  -8 -10 1 0 1 0 1 0
0 0  0 "NWLF"  -8  -9 0 0 0 0 0 0
0 0  0 "SPP"  -8  -8 0 0 0 0 0 0
0 0  0 "SPP"  -8  -7 0 0 0 0 0 0
0 0  1 "Eriley"  -8  -6 1 0 1 0 1 1
0 0  0 "Eriley"  -8  -5 0 0 0 0 0 0
0 0  1 "Stevens"  -8  -4 1 0 1 0 1 1
0 0  0 "Stevens"  -8  -3 1 0 1 0 1 0
0 0  0 "NWLF"  -8  -1 0 0 0 0 0 0
0 0  0 "Stevens"  -8   0 0 0 0 0 0 0
0 0  0 "NWLF"  -8   1 0 0 0 0 0 0
0 0  0 "NWLF"  -8   2 1 0 1 0 1 0
0 0  1 "Lf"  -8   3 1 0 1 0 1 1
0 0  0 "AA"  -8   4 1 0 1 0 1 0
4 0  3 "SPP"  -8   5 1 1 1 0 1 1
0 0  0 "NWLF"  -8   6 1 0 1 0 1 0
1 1  2 "SPP"  -8   7 1 1 1 1 1 1
1 1  2 "Stevens"  -8   8 1 1 1 1 1 1
0 0  0 "Stevens"  -8   9 0 0 0 0 0 0
0 2  3 "NWLF"  -8  10 1 0 1 1 1 1
0 0  0 "NWLF"  -8  11 0 0 0 0 0 0
0 0  0 "Nessman"  -3 -12 0 0 0 0 0 0
1 0  2 "Eriley"  -3 -11 1 1 1 0 1 1
0 0  0 "Lf"  -3 -10 0 0 0 0 0 0
0 0  0 "Eriley"  -3  -9 0 0 0 0 0 0
2 0  0 "Nessman"  -3  -8 1 1 1 0 1 0
0 0  0 "Lf"  -3  -7 0 0 0 0 0 0
0 0  0 "AA"  -3  -6 0 0 0 0 0 0
0 0  0 "SPP"  -3  -5 0 0 0 0 0 0
0 0  0 "Lf"  -3  -4 0 0 0 0 0 0
0 0  0 "SPP"  -3  -3 1 0 1 0 1 0
1 0  0 "Eriley"  -3  -2 1 1 1 0 1 0
0 0  0 "Eriley"  -3  -1 1 0 1 0 1 0
3 0  7 "Lf"  -3   0 1 1 1 0 1 1
2 1  7 "Lf"  -3   1 1 1 1 1 1 1
0 0  0 "Eriley"  -3   2 0 0 0 0 0 0
0 2  0 "Lf"  -3   3 1 0 1 1 1 0
1 4  3 "SPP"  -3   4 1 1 1 1 1 1
1 0  0 "Lf"  -3   5 1 1 1 0 1 0
3 2  3 "SPP"  -3   6 1 1 1 1 1 1
2 4  4 "SPP"  -3   7 1 1 1 1 1 1
2 1  3 "Lf"  -3   8 1 1 1 1 1 1
1 0  4 "Eriley"  -3   9 1 1 1 0 1 1
2 4  2 "AA"  -3  10 1 1 1 1 1 1
1 3  0 "Eriley"  -3  11 1 1 1 1 1 0
1 0  1 "Lf"  -3  12 1 1 1 0 1 1
0 0  0 "SPP"   1 -12 1 0 1 0 1 0
0 0  1 "NWLF"   1 -11 1 0 1 0 1 1
0 0  0 "NWLF"   1 -10 1 0 1 0 1 0
0 0  0 "Stevens"   1  -9 1 0 1 0 1 0
0 0  0 "Stevens"   1  -8 1 0 0 0 0 0
0 0  0 "Stevens"   1  -7 1 0 0 0 0 0
0 0  0 "NWLF"   1  -6 0 0 0 0 0 0
4 0  0 "NWLF"   1  -5 1 1 1 0 1 0
0 0  0 "Stevens"   1  -4 0 0 0 0 0 0
3 0  0 "AA"   1  -3 1 1 0 0 0 0
0 0  0 "NWLF"   1  -2 0 0 0 0 0 0
0 0  0 "NWLF"   1  -1 0 0 0 0 0 0
0 0  0 "NWLF"   1   0 0 0 0 0 0 0
3 3  3 "NWLF"   1   1 1 1 1 1 1 1
1 2  2 "Stevens"   1   2 1 1 1 1 1 1
0 0  0 "SPP"   1   3 0 0 0 0 0 0
0 0  0 "NWLF"   1   4 1 0 1 0 0 0
1 2  1 "Stevens"   1   5 1 1 1 1 1 1
0 0  0 "Stevens"   1   6 0 0 0 0 0 0
0 0  0 "NWLF"   1   7 0 0 0 0 0 0
2 0  2 "Eriley"   1   8 1 1 1 0 1 1
0 0  0 "Stevens"   1   9 1 0 0 0 0 0
1 0  3 "Stevens"   1  10 1 1 1 0 1 1
0 1  0 "Lf"   1  11 1 0 1 1 1 0
0 0  0 "Stevens"   1  12 1 0 1 0 1 0
0 0  3 "NWLF"   4 -12 1 0 1 0 1 1
0 0  1 "NWLF"   4 -11 1 0 1 0 1 1
0 0  0 "NWLF"   4 -10 0 0 0 0 0 0
0 0  1 "Stevens"   4  -9 1 0 1 0 1 1
1 0  3 "Stevens"   4  -8 1 1 1 0 1 1
0 0  0 "Nessman"   4  -7 0 0 0 0 0 0
0 0  0 "Nessman"   4  -6 0 0 0 0 0 0
0 0  1 "NWLF"   4  -5 1 0 1 0 1 1
0 0  0 "AA"   4  -4 1 0 1 0 1 0
3 0  1 "NWLF"   4  -3 1 1 1 0 1 1
0 0  0 "SPP"   4  -2 0 0 0 0 0 0
2 2  0 "SPP"   4  -1 1 1 1 1 1 0
1 2  1 "Stevens"   4   0 1 1 1 1 1 1
1 0  3 "Lf"   4   1 1 1 1 0 1 1
0 0  1 "Lf"   4   2 1 0 1 0 1 1
0 0  3 "Nessman"   4   3 1 0 1 0 1 1
1 0  1 "SPP"   4   4 1 1 1 0 1 1
